2,3,4,5,6,7,8,9,10,11
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,DH,DH,DH,DH,H,H,H,H,H,
DH,DH,DH,DH,DH,DH,DH,DH,H,H
DH,DH,DH,DH,DH,DH,DH,DH,DH,H
H,H,S,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,RH,H
S,S,S,S,S,H,H,RH,RH,RH
S,S,S,S,S,S,S,S,S,RS
S,S,S,S,S,S,S,S,S,S
